Complaint_No,Weapon_Type
20110113163301,"Personal Weapons (hands,feet,teeth,etc.)"
20110113191600,"Personal Weapons (hands,feet,teeth,etc.)"
20110113193204,Handgun                                 
20110113193701,Not Applicable/None                     
20110113195300,Other Weapon                            
20110113200101,"Personal Weapons (hands,feet,teeth,etc.)"
20110113200800,"Personal Weapons (hands,feet,teeth,etc.)"
20110113211700,"Personal Weapons (hands,feet,teeth,etc.)"
20110113213108,"Blunt Object(club,hammer,etc)           "
20110113214100,"Personal Weapons (hands,feet,teeth,etc.)"
20110113214100,Handgun                                 
20110113230901,"Personal Weapons (hands,feet,teeth,etc.)"
20110114002307,"Personal Weapons (hands,feet,teeth,etc.)"
20110114005800,"Personal Weapons (hands,feet,teeth,etc.)"
20110114024103,Handgun                                 
20110114030903,"Personal Weapons (hands,feet,teeth,etc.)"
20110114043101,"Personal Weapons (hands,feet,teeth,etc.)"
20110114082800,Not Applicable/None                     
20110114083400,Handgun                                 
20110114101003,"Personal Weapons (hands,feet,teeth,etc.)"
20110114114004,"Personal Weapons (hands,feet,teeth,etc.)"
20110114121905,Handgun                                 
20110114130903,"Personal Weapons (hands,feet,teeth,etc.)"
20110114131801,"Personal Weapons (hands,feet,teeth,etc.)"
20110114133304,Handgun                                 
20110114150702,"Personal Weapons (hands,feet,teeth,etc.)"
20110114154901,"Personal Weapons (hands,feet,teeth,etc.)"
20110114161701,Knife                                   
20110114161701,Other Weapon                            
20110114161804,"Personal Weapons (hands,feet,teeth,etc.)"
20110114162401,"Personal Weapons (hands,feet,teeth,etc.)"
20110114162500,Vehicle                                 
20110114162500,"Personal Weapons (hands,feet,teeth,etc.)"
20110114164003,"Personal Weapons (hands,feet,teeth,etc.)"
20110114190800,"Personal Weapons (hands,feet,teeth,etc.)"
20110114191001,"Personal Weapons (hands,feet,teeth,etc.)"
20110114212501,"Personal Weapons (hands,feet,teeth,etc.)"
20110114212501,Other Weapon                            
20110114213004,Handgun                                 
20110114221301,Handgun                                 
20110114221700,Handgun                                 
20110114223103,Not Applicable/None                     
20110115000900,"Personal Weapons (hands,feet,teeth,etc.)"
20110115011301,"Personal Weapons (hands,feet,teeth,etc.)"
20110115012702,Knife                                   
20110115015902,Handgun                                 
20110115020800,"Personal Weapons (hands,feet,teeth,etc.)"
20110115024400,"Personal Weapons (hands,feet,teeth,etc.)"
20110115042000,"Blunt Object(club,hammer,etc)           "
20110115043700,"Personal Weapons (hands,feet,teeth,etc.)"
20110115074600,"Personal Weapons (hands,feet,teeth,etc.)"
20110115094406,Handgun                                 
20110115114302,Handgun                                 
20110115114800,"Personal Weapons (hands,feet,teeth,etc.)"
20110115153605,Handgun                                 
20110115155900,"Personal Weapons (hands,feet,teeth,etc.)"
20110115163700,"Personal Weapons (hands,feet,teeth,etc.)"
20110115170303,Handgun                                 
20110115171200,"Personal Weapons (hands,feet,teeth,etc.)"
20110115173100,Handgun                                 
20110115183800,"Personal Weapons (hands,feet,teeth,etc.)"
20110115184706,Knife                                   
20110115191901,Knife                                   
20110115193002,Handgun                                 
20110115202100,"Personal Weapons (hands,feet,teeth,etc.)"
20110115202703,"Personal Weapons (hands,feet,teeth,etc.)"
20110115220703,Handgun                                 
20110115223203,"Personal Weapons (hands,feet,teeth,etc.)"
20110116000900,"Personal Weapons (hands,feet,teeth,etc.)"
20110116001800,"Personal Weapons (hands,feet,teeth,etc.)"
20110116013301,Knife                                   
20110116013301,"Personal Weapons (hands,feet,teeth,etc.)"
20110116014001,"Personal Weapons (hands,feet,teeth,etc.)"
20110116015502,"Personal Weapons (hands,feet,teeth,etc.)"
20110116024102,"Personal Weapons (hands,feet,teeth,etc.)"
20110116025003,"Personal Weapons (hands,feet,teeth,etc.)"
20110116030801,Handgun                                 
20110116034400,"Personal Weapons (hands,feet,teeth,etc.)"
20110116040201,Razor                                   
20110116040901,"Personal Weapons (hands,feet,teeth,etc.)"
20110116042903,"Personal Weapons (hands,feet,teeth,etc.)"
20110116053302,Other Weapon                            
20110116060502,Knife                                   
20110116060502,"Personal Weapons (hands,feet,teeth,etc.)"
20110116073301,Other Weapon                            
20110116073301,"Personal Weapons (hands,feet,teeth,etc.)"
20110116085402,Other Chemical/Drugs                    
20110116094104,"Personal Weapons (hands,feet,teeth,etc.)"
20110116100102,"Personal Weapons (hands,feet,teeth,etc.)"
20110116120400,"Personal Weapons (hands,feet,teeth,etc.)"
20110116125901,"Personal Weapons (hands,feet,teeth,etc.)"
20110116132401,Knife                                   
20110116143702,"Personal Weapons (hands,feet,teeth,etc.)"
20110116152800,"Personal Weapons (hands,feet,teeth,etc.)"
20110116155300,Not Applicable/None                     
20110116160504,Vehicle                                 
20110116164302,Other Weapon                            
20110116164302,"Personal Weapons (hands,feet,teeth,etc.)"
20110116164304,"Personal Weapons (hands,feet,teeth,etc.)"
20110116170405,"Personal Weapons (hands,feet,teeth,etc.)"
20110116174001,"Personal Weapons (hands,feet,teeth,etc.)"
20110116183801,"Gas/Air Powered Gun (BB, Pellet, etc.)  "
20110116200803,Handgun                                 
20110116210703,"Personal Weapons (hands,feet,teeth,etc.)"
20110116213601,"Personal Weapons (hands,feet,teeth,etc.)"
