Street_Address,Zipcode,X_Coordinate,Y_Coordinate,NIBRS_Hi_Class,HighRisk
   NATIONS FORD                             RD,28217,1434213,510876,Motor Vehicle Theft,0
   VICKERY                                  DR,28215,1473985,551312,Motor Vehicle Theft,0
   FISHER'S FARM                            LN,28226,1451768,489741,Motor Vehicle Theft,0
   COPPER CREEK                             CT,28227,1487350,533450,Motor Vehicle Theft,0
   MT HOLLY-HUNTERSVILLE                    RD,28216,1428409,582439,Motor Vehicle Theft,0
   ENGLISH HILLS                            DR,28212,1482712,535218,Motor Vehicle Theft,0
N  I-485 INNER                              HY,28214,1412964,558018,Motor Vehicle Theft,0
   LEX                                      DR,28262,1484305,573922,Motor Vehicle Theft,0
   SILVERSMITH                              LN,28270,1477332,502240,Motor Vehicle Theft,0
   WOODWAY OAK                              CR,28105,1482573,516211,Motor Vehicle Theft,0
   FIDDLERS ROOF                            LN,28277,1457205,478064,Motor Vehicle Theft,0
   MONTFORD                                 DR,28209,1445851,521847,Motor Vehicle Theft,0
   WALLAND                                  LN,28273,1408067,513284,Motor Vehicle Theft,0
   HEATHER GLEN                             LN,28208,1427700,551162,Motor Vehicle Theft,0
   CHINA GROVE CHURCH                       RD,28273,1435748,499878,Motor Vehicle Theft,0
   BALLANTYNE CORPORATE                     PL,28277,1448659,480730,Motor Vehicle Theft,0
   STATESVILLE                              AV,28210,1452170,550847,Motor Vehicle Theft,0
   WILLOW HAVEN                             LN,28262,1486842,581889,Motor Vehicle Theft,0
   FEATHERBROOK                             RD,28262,1486646,582201,Motor Vehicle Theft,0
   COMMONWEALTH                             AV,28205,1462373,536413,Motor Vehicle Theft,0
   DR CARVER                                RD,28208,1435331,538809,Motor Vehicle Theft,0
   BARRINGER                                DR,28208,1438518,537772,Motor Vehicle Theft,0
   DEEP FOREST                              LN,28214,1416189,558633,Motor Vehicle Theft,0
   FIRELIGHT                                LN,28212,1474670,532859,Motor Vehicle Theft,0
   VALLEYVIEW                               DR,28215,1480109,541568,Motor Vehicle Theft,0
   OAK                                      DR,28269,1456095,575139,Motor Vehicle Theft,0
E  I-485 OUTER                              HY,28273,1422475,512055,Motor Vehicle Theft,0
   STONEY POINT                             LN,28217,1441426,504784,Motor Vehicle Theft,0
N  I-77                                     IN,28217,1434573,517476,Motor Vehicle Theft,0
   WESTHAM RIDGE                            RD,28217,1432531,519974,Motor Vehicle Theft,0
W  1ST                                      ST,28202,1445451,544134,Motor Vehicle Theft,0
   SOUTHWOOD OAKS                           LN,28212,1478243,531004,Motor Vehicle Theft,0
N  SHARON AMITY                             RD,28205,1476665,539464,Motor Vehicle Theft,0
   BALLANTYNE COMMONS                       PY,28277,1457197,480328,Motor Vehicle Theft,0
   ROCKLAKE                                 DR,28214,1421370,552594,Motor Vehicle Theft,0
   HIDDEN FOREST                            DR,28213,1468829,562069,Motor Vehicle Theft,0
   FERNHILL                                 DR,28217,1435309,515511,Motor Vehicle Theft,0
   OLD WATT                                 LN,28273,1422690,517349,Motor Vehicle Theft,0
   SOUTH                                    BV,28210,1439308,509781,Motor Vehicle Theft,0
   WATSON                                   DR,28208,1436716,539135,Motor Vehicle Theft,0
E  INDEPENDENCE                             BV,28212,1477043,524145,Motor Vehicle Theft,0
   ARCHDALE                                 DR,28217,1434680,515256,Motor Vehicle Theft,0
   NEAL                                     DR,28213,1470471,567755,Motor Vehicle Theft,0
   EAVES                                    LN,28215,1469507,549103,Motor Vehicle Theft,0
   NUTMEG                                   LN,28227,1486634,530705,Motor Vehicle Theft,0
   ORR                                      RD,28213,1473754,556062,Motor Vehicle Theft,0
   ARLYN                                    CR,28213,1485721,569644,Motor Vehicle Theft,0
   CROSS POINT                              CR,28105,1483683,515184,Motor Vehicle Theft,0
   BROOKTREE                                DR,28208,1429103,556955,Motor Vehicle Theft,0
   EQUIPMENT                                DR,28213,1462192,560851,Motor Vehicle Theft,0
   MORETZ                                   AV,28206,1454624,552004,Motor Vehicle Theft,0
   BROOKSHIRE                               BV,28216,1425853,572917,Motor Vehicle Theft,0
   UNIVERSITY TERRACE                       DR,28262,1486140,571696,Motor Vehicle Theft,0
   PEBBLE                                   ST,28213,1459605,559123,Motor Vehicle Theft,0
N  85 IN,28208,1420895,548304,Motor Vehicle Theft,0
W  TRADE                                    ST,28202,1449542,542924,Motor Vehicle Theft,0
   SAM WILSON                               RD,28214,1408307,553873,Motor Vehicle Theft,0
   MINUET                                   LN,28217,1437993,522150,Motor Vehicle Theft,0
   OLD PINEVILLE                            RD,282-9       ,1438523,521847,Motor Vehicle Theft,0
   DUNCAN GARDENS                           DR,28206,1454715,545120,Motor Vehicle Theft,0
S  SYCAMORE                                 ST,28202,1446336,545684,Motor Vehicle Theft,0
S  MCDOWELL                                 ST,28202,1451641,539586,Motor Vehicle Theft,0
   AUTEN                                    RD,28216,1436150,564673,Motor Vehicle Theft,0
N  TRYON                                    ST,28269,1475954,566229,Motor Vehicle Theft,0
   NATIONS FORD                             RD,28134,1427981,501999,Motor Vehicle Theft,0
   PEARL                                    ST,28262,1475456,570845,Motor Vehicle Theft,0
   HIGH MEADOW                              LN,28217,1434758,514341,Motor Vehicle Theft,0
   SUNNYWOOD                                LN,28227,1475893,511017,Motor Vehicle Theft,0
   DUNLAVIN                                 WY,28205,1468273,542022,Motor Vehicle Theft,0
   WHITTINGTON                              ST,28206,1451343,556019,Motor Vehicle Theft,0
E  TRADE                                    ST,28203,1449770,542383,Motor Vehicle Theft,0
   SARDIS                                   RD,28270,1481927,510775,Motor Vehicle Theft,0
   WINERY                                   LN,28227,1486230,533070,Motor Vehicle Theft,0
N  SARDIS                                   RD,28270,1481927,510775,Motor Vehicle Theft,0
   ETHEL GUEST                              LN,28206,1450681,549964,Motor Vehicle Theft,0
   JOHNSON                                  ST,28206,1450083,547457,Motor Vehicle Theft,0
   FORESTBROOK                              DR,28208,1427531,548569,Motor Vehicle Theft,0
   HICKORY BLUFF                            CT,28208,1429678,550215,Motor Vehicle Theft,0
   METROPOLITAN                             AV,28202,1452110,538155,Motor Vehicle Theft,0
   WALNUT                                   AV,28208,1443958,546827,Motor Vehicle Theft,0
   FRENCH                                   ST,28216,1445060,550193,Motor Vehicle Theft,0
   BRADFORD                                 DR,28208,1433368,554112,Motor Vehicle Theft,0
   SHAMROCK                                 DR,28215,1471805,545896,Motor Vehicle Theft,0
   FORESTBROOK                              DR,28208,1428637,549105,Motor Vehicle Theft,0
   DUPONT                                   DR,28217,1436603,514330,Motor Vehicle Theft,0
   GRIFFITH                                 ST,28203,1439866,534207,Motor Vehicle Theft,0
   PLUMSTEAD                                RD,28216,1442766,561773,Motor Vehicle Theft,0
N  I-77                                     HY,28202,1449698,552114,Motor Vehicle Theft,0
   REMINGTON                                ST,28216,1445058,554611,Motor Vehicle Theft,0
   TRINITY                                  RD,28216,1445225,577247,Motor Vehicle Theft,0
   FAIR                                     ST,28208,1435096,554206,Motor Vehicle Theft,0
   CLAY                                     AV,28208,1439377,547781,Motor Vehicle Theft,0
   COLUMBUS                                 CR,28213,1438390,543906,Motor Vehicle Theft,0
   INTERURBAN                               AV,28208,1432349,555553,Motor Vehicle Theft,0
   CROSSHILL                                CT,28277,1467893,483675,Motor Vehicle Theft,0
E  15TH                                     ST,28207,1454898,544603,Motor Vehicle Theft,0
   JENKINS                                  DR,28212,1479547,534250,Motor Vehicle Theft,0
W  10TH                                     ST,28202,1450132,546344,Motor Vehicle Theft,0
N  DAVIDSON                                 ST,28205,1459936,549316,Motor Vehicle Theft,0
   SOUTHWEST                                BV,28216,1443377,556533,Motor Vehicle Theft,0
   HIDDEN MEADOW                            LN,28269,1474276,601388,Motor Vehicle Theft,0
   HUNTER OAKS                              LN,28213,1467882,561570,Motor Vehicle Theft,0
   CAMP GREENE                              ST,28208,1437347,542462,Motor Vehicle Theft,0
   BOULDER                                  LN,28269,1449414,568300,Motor Vehicle Theft,0
   WINDING CANYON                           DR,28216,1425777,563156,Motor Vehicle Theft,0
   HILO                                     DR,28206,1460643,553454,Motor Vehicle Theft,0
   SOUTH                                    BV,28210,1437151,502411,Motor Vehicle Theft,0
   GREEN OAKS                               LN,28205,1463173,536679,Motor Vehicle Theft,0
   NORTHSTREAM                              DR,28208,1427879,549027,Motor Vehicle Theft,0
   POINT LAKE                               DR,28227,1485159,533894,Motor Vehicle Theft,0
E  3RD                                      ST,28202,1448939,542159,Motor Vehicle Theft,0
   TILLMAN                                  RD,28208,1437273,552904,Motor Vehicle Theft,0
   BEATTIES FORD                            RD,28216,1446360,556371,Motor Vehicle Theft,0
W  SUGAR CREEK                              RD,28213,1464657,563426,Motor Vehicle Theft,0
   CEDAR GLEN                               DR,28212,1476875,517863,Motor Vehicle Theft,0
